,string_text
382,"19) Magic Oneohtrix Point Never // Oneohtrix Point Never
"
383,"20) Roisin Machine // Roisin Murphy
"
384,"12/1/20 10:23 AM+11REPLY
"
385,"12/1/20 12:08 PM+4REPLY
"
386,"12/1/20 2:30 PM0REPLY
"
387,"12/1/20 2:35 PM0REPLY
"
388,"12/1/20 12:41 PM+1REPLY
"
389,"1 - Annie - Dark Hearts
"
390,"2 - Creeper - Sex, Death & the Infinite Void
"
391,"3 - James Dean Bradfield - Even in Exile
"
392,"4 - Laura Marling - Songs for our Daughter
"
393,"5 - Sufjan Stevens - The Ascension
"
394,"6 - Austra - HiRUNDiN
"
395,"7 - Fleet Foxes - Shores
"
396,"8 - Nadine Shah - Kitchen Sink
"
397,"9 - Poppy - I Disagree
"
398,"10 - Julianna Barwick - Healing is a Miracle
"
399,"12/1/20 10:23 AM+10REPLY
"
400,"12/1/20 10:58 AM0REPLY
"
401,"12/1/20 11:31 AM0REPLY
"
402,"1) Jeff Rosenstock - No Dream
"
403,"2) Waxahatchee - Saint Cloud
"
404,"3) Perfume Genius - Set My Heart on Fire Immediately
"
405,"4) Caribou - Suddenly
"
406,"5) Phoebe Bridgers - Punisher
"
407,"6) Mac Miller - Circles
"
408,"7) Bright Eyes - Down in the Weeds...
"
409,"8) Fiona Apple - Fetch the Bolt Cutters
"
410,"9) Freddie Gibbs & Alchemist - Alfredo
"
411,"10) Fleet Foxes - Shore
"
412,"11) Moses Sumney - grae
"
413,"12) Thao & The Get Down Stay Down - Temples
"
414,"13) Sufjan - The Ascension
"
415,"14) Open Mike Eagle - Anime, Trauma, Divorce
"
416,"15) En Attendant Ana - Juliett
"
417,"12/1/20 10:24 AM+6REPLY
"
418,"12/1/20 10:31 AM+8REPLY
"
419,"12/1/20 11:26 AM+4REPLY
"
420,"12/1/20 11:39 AM+5REPLY
"
421,"12/1/20 11:44 AM+4REPLY
"
422,"12/1/20 11:47 AM+2REPLY
"
423,"12/1/20 1:26 PM0REPLY
"
424,"12/1/20 1:12 PM+3REPLY
"
425,"12/1/20 12:07 PM+4REPLY
"
426,"12/1/20 1:11 PM+1REPLY
"
427,"12/1/20 12:49 PM+1REPLY
"
428,"12/1/20 12:48 PM0REPLY
"
429,"12/1/20 11:05 AM0REPLY
"
430,"12/1/20 11:12 AM+1REPLY
"
431,"12/1/20 11:55 AM0REPLY
"
432,"12/1/20 11:14 AM+3REPLY
"
433,"12/1/20 12:20 PM0REPLY
"
434,"01. Mare Cognitum & Spectral Lore - Wanderers: Astrology of the Nine
"
435,"02. Oranssi Pazuzu – Mestarin Kynsi
"
436,"03. Fiona Apple – Fetch The Bolt Cutters
"
437,"04. Emma Ruth Rundle & Thou – May Our Chambers Be Full
"
438,"05. Phoebe Bridgers – Punisher
"
439,"06. Gulch – Impenetrable Cerebral Fortress
"
440,"07. Pallbearer – Forgotten Days
"
441,"08. Couch Slut – Take a Chance On Rock n Roll
"
442,"09. Boldy James & Sterling Toles – Manger On McNichols
"
443,"10. Infant Island – Beneath
"
444,"11. Angel Bat Dawid & Tha Brotherhood – LIVE
"
445,"12. Svalbard – When I Die, Will I Get Better?
"
446,"13. Spirit Adrift – Enlightened In Eternity
"
447,"14. Napalm Death – Throes of Joy In the Jaws of Defeatism
"
448,"15. Yves Tumor – Heaven to a Tortured Mind
"
449,"16. Moor Mother – Circuit City
"
450,"17. Run The Jewels – RTJ4
"
451,"18. Sweven – The Eternal Resonance
"
452,"19. Bedsore – Hypnogogic Hallucinations
"
453,"20. Perfume Genius – Set My Heart On Fire Immediately
"
454,"12/1/20 10:24 AM+13REPLY
"
455,"12/1/20 10:50 AM+5REPLY
"
456,"12/1/20 11:09 AM+2REPLY
"
457,"12/1/20 11:48 AM+3REPLY
"
458,"12/1/20 12:54 PM+2REPLY
"
459,"12/1/20 11:03 AM+3REPLY
"
460,"12/1/20 11:12 AM+3REPLY
"
461,"12/1/20 11:38 AM+2REPLY
"
